Name,Age,Salary,Department,Experience
Alice,25.0,50000.0,HR,1.0
Bob,33.125,60000.0,Engineering,2.0
Charlie,35.0,64166.666666666664,Marketing,5.0
David,45.0,80000.0,HR,10.0
Eva,28.0,56000.0,HR,3.0
Frank,33.0,62000.0,Engineering,6.0
Grace,29.0,58000.0,Finance,4.0
Hannah,40.0,75000.0,Marketing,8.0
Ian,33.125,61000.0,Finance,7.0
Jane,31.0,59000.0,HR,2.0
Kyle,27.0,54000.0,Engineering,1.0
Lily,38.0,73000.0,HR,9.0
Mike,36.0,72000.0,Finance,6.0
Nina,33.125,67000.0,Marketing,4.0
Owen,41.0,79000.0,HR,10.0
Paula,30.0,64166.666666666664,Finance,3.0
Quinn,34.0,61000.0,Marketing,5.0
Rose,26.0,53000.0,HR,2.0
Sam,32.0,65000.0,Engineering,7.0
Tina,33.125,70000.0,Finance,4.0
